name,full_name,owner,description,url,visibility,is_fork,creation_date,last_update_date,last_push_date,default_branch,number_of_branches,primary_language,size,stars,forks,watchers,open_issues,license,topics,homepage,archived,disabled
multicast-stream,sindresorhus/multicast-stream,sindresorhus,Create a multicast stream that lets multiple consumers independently read the same data,https://github.com/sindresorhus/multicast-stream,public,false,2024-08-25,2025-08-20,2025-07-06,main,1,JavaScript,100,173,3,173,0,MIT License,,,false,false
gpt-oss,openai/gpt-oss,openai,gpt-oss-120b and gpt-oss-20b are two open-weight language models by OpenAI,https://github.com/openai/gpt-oss,public,false,2025-06-23,2025-08-23,2025-08-19,main,12,Python,10681,17701,1607,17701,58,Apache License 2.0,,https://openai.com/open-models,false,false
codex,openai/codex,openai,Lightweight coding agent that runs in your terminal,https://github.com/openai/codex,public,false,2025-04-13,2025-08-23,2025-08-23,main,30,Rust,30867,36022,4141,36022,434,Apache License 2.0,,,false,false
to-rotated,sindresorhus/to-rotated,sindresorhus,Rotate an array by a given number of steps,https://github.com/sindresorhus/to-rotated,public,false,2024-05-22,2025-08-09,2024-05-22,main,1,JavaScript,3,45,1,45,0,MIT License,,,false,false
appcast-workflow,sindresorhus/appcast-workflow,sindresorhus,Reusable workflow to generate Sparkle appcast.xml for my apps,https://github.com/sindresorhus/appcast-workflow,public,false,2024-07-07,2025-08-20,2025-02-03,main,1,,26,34,4,34,0,MIT License,"appcast, github-actions-workflow",,false,false
is-low-power-mode,sindresorhus/is-low-power-mode,sindresorhus,Check if the system is in low power mode,https://github.com/sindresorhus/is-low-power-mode,public,false,2024-07-25,2025-08-20,2024-07-25,main,1,JavaScript,3,66,2,66,0,MIT License,,,false,false
is-directory-empty,sindresorhus/is-directory-empty,sindresorhus,Check if a directory is empty,https://github.com/sindresorhus/is-directory-empty,public,false,2024-07-25,2025-05-20,2024-07-25,main,1,JavaScript,3,29,2,29,0,MIT License,,,false,false
yocto-spinner,sindresorhus/yocto-spinner,sindresorhus,Tiny terminal spinner,https://github.com/sindresorhus/yocto-spinner,public,false,2024-08-25,2025-08-21,2025-06-04,main,1,JavaScript,233,259,8,259,3,MIT License,,,false,false
gumroad,antiwork/gumroad,antiwork,Sell stuff and see what sticks,https://github.com/antiwork/gumroad,public,false,2025-04-03,2025-08-23,2025-08-23,main,30,Ruby,175193,6854,1199,6854,46,MIT License,,https://gumroad.com,false,false
uint8array-extras,sindresorhus/uint8array-extras,sindresorhus,Useful utilities for working with Uint8Array (and Buffer),https://github.com/sindresorhus/uint8array-extras,public,false,2023-10-24,2025-08-22,2025-08-22,main,1,JavaScript,50,261,9,261,1,MIT License,,,false,false
nano-spawn,sindresorhus/nano-spawn,sindresorhus,Tiny process execution for humans — a better child_process,https://github.com/sindresorhus/nano-spawn,public,false,2024-08-19,2025-08-20,2025-08-14,main,1,JavaScript,486,543,12,543,5,MIT License,,,false,false
debounce,sindresorhus/debounce,sindresorhus,Delay function calls until a set time elapses after the last invocation,https://github.com/sindresorhus/debounce,public,false,2013-08-21,2025-08-21,2024-10-14,main,1,JavaScript,47,824,78,824,3,Other,,,false,false
repo-url-from-package,sindresorhus/repo-url-from-package,sindresorhus,Extracts the repo URL from a package.json object,https://github.com/sindresorhus/repo-url-from-package,public,false,2024-07-24,2025-08-20,2025-07-06,main,1,JavaScript,13,28,4,28,0,MIT License,,,false,false
environment,sindresorhus/environment,sindresorhus,"Check which JavaScript environment your code is running in at runtime: browser, Node.js, Bun, etc",https://github.com/sindresorhus/environment,public,false,2024-04-28,2025-07-06,2024-09-13,main,1,JavaScript,7,164,1,164,0,MIT License,"check-environment, node-module, npm-package, runtime-environment",,false,false
sketch-icon-preview,sindresorhus/sketch-icon-preview,sindresorhus,Sketch plugin to preview macOS app icons in the Dock using the Icon Preview app,https://github.com/sindresorhus/sketch-icon-preview,public,false,2024-04-27,2025-07-31,2024-06-13,main,2,JavaScript,318,49,1,49,0,MIT License,"icon-preview, sketch-app, sketch-plugin",,false,false
identifier-regex,sindresorhus/identifier-regex,sindresorhus,Regular expression for matching JavaScript identifiers,https://github.com/sindresorhus/identifier-regex,public,false,2024-05-05,2025-04-28,2024-05-05,main,1,JavaScript,3,15,0,15,0,MIT License,,,false,false
reserved-identifiers,sindresorhus/reserved-identifiers,sindresorhus,Provides a list of reserved identifiers for JavaScript,https://github.com/sindresorhus/reserved-identifiers,public,false,2024-05-05,2025-05-20,2024-05-05,main,1,JavaScript,3,20,1,20,0,MIT License,,,false,false
base62,sindresorhus/base62,sindresorhus,"Encode & decode strings, bytes, and integers to Base62",https://github.com/sindresorhus/base62,public,false,2024-05-05,2025-05-20,2024-05-05,main,1,JavaScript,5,87,3,87,1,MIT License,,,false,false
regex,slevithan/regex,slevithan,"JS regexes ➕ future. A template tag for readable, high-performance, native JS regexes with extended syntax, context-aware interpolation, and always-on best practices.",https://github.com/slevithan/regex,public,false,2024-05-29,2025-08-21,2025-05-04,main,1,JavaScript,740,594,15,594,2,MIT License,"one-of-a-kind, regex, regular-expression",,false,false
is-identifier,sindresorhus/is-identifier,sindresorhus,Check if a string is a valid JavaScript identifier,https://github.com/sindresorhus/is-identifier,public,false,2024-05-05,2025-04-14,2024-07-12,main,1,JavaScript,5,26,0,26,0,MIT License,,,false,false
to-valid-identifier,sindresorhus/to-valid-identifier,sindresorhus,Convert a string to a valid JavaScript identifier,https://github.com/sindresorhus/to-valid-identifier,public,false,2024-05-05,2025-08-20,2024-05-28,main,1,JavaScript,6,42,1,42,0,MIT License,,,false,false
p-mutex,sindresorhus/p-mutex,sindresorhus,Async mutex lock for managing access to a shared resource,https://github.com/sindresorhus/p-mutex,public,false,2024-04-25,2025-08-07,2025-07-06,main,1,JavaScript,8,131,2,131,1,MIT License,,,false,false
remark-custom-header-id,sindresorhus/remark-custom-header-id,sindresorhus,Remark plugin for adding a custom ID attribute to Markdown headers,https://github.com/sindresorhus/remark-custom-header-id,public,false,2024-03-11,2025-08-08,2024-05-28,main,1,JavaScript,7,41,5,41,0,MIT License,"markdown, nodejs, npm, remark, remark-plugin",,false,false
is64bit,sindresorhus/is64bit,sindresorhus,Check if the operating system CPU architecture is 64-bit or 32-bit (Supports browsers),https://github.com/sindresorhus/is64bit,public,false,2023-10-23,2025-05-20,2024-06-01,main,1,JavaScript,7,46,3,46,0,MIT License,,,false,false
domify,sindresorhus/domify,sindresorhus,html -> elements,https://github.com/sindresorhus/domify,public,false,2012-06-22,2025-05-26,2023-11-17,main,1,JavaScript,198,260,31,260,0,MIT License,,,false,false
merge-descriptors,sindresorhus/merge-descriptors,sindresorhus,Merge objects using their property descriptors,https://github.com/sindresorhus/merge-descriptors,public,false,2013-10-29,2025-08-01,2023-12-21,main,1,JavaScript,32,150,27,150,0,MIT License,,,false,false
ExtendedAttributes,sindresorhus/ExtendedAttributes,sindresorhus,Manage extended attributes in Swift,https://github.com/sindresorhus/ExtendedAttributes,public,false,2024-03-10,2025-08-12,2024-03-10,main,1,Swift,11,45,4,45,2,MIT License,"extended-attributes, file-system, metadata, swift, swift-package, swift-package-manager",https://swiftpackageindex.com/sindresorhus/ExtendedAttributes/documentation/extendedattributes,false,false
array-equal,sindresorhus/array-equal,sindresorhus,Check if two arrays are equal,https://github.com/sindresorhus/array-equal,public,false,2014-04-29,2025-06-08,2025-04-08,main,1,JavaScript,10,37,16,37,0,MIT License,,,false,false
image-dimensions,sindresorhus/image-dimensions,sindresorhus,Get the dimensions of an image,https://github.com/sindresorhus/image-dimensions,public,false,2023-11-05,2025-08-16,2024-06-21,main,1,JavaScript,138,452,12,452,5,MIT License,,,false,false
decircular,sindresorhus/decircular,sindresorhus,Remove circular references from objects,https://github.com/sindresorhus/decircular,public,false,2023-11-14,2025-04-14,2024-03-10,main,1,JavaScript,8,94,3,94,0,MIT License,,,false,false
